event, 	site, 	night,  time_from_obs_start, 	integration_time, 	sigma
Event751, North, night01,18456.951774060726,190.0, 0.7944719833402438
Event751, North, night01,18466.951774060726,200.0, 0.20500590729070914
Event751, North, night01,18476.951774060726,210.0, 0.2127063440880763
Event751, North, night01,18486.951774060726,220.0, 0.3194457234480878
Event751, North, night01,18496.951774060726,230.0, 0.553341710129436
Event751, North, night01,18506.951774060726,240.0, 0.8019689958689041
Event751, North, night01,18516.951774060726,250.0, 0.6829660970956983

-------------------------------------------------------------------------------------------------------------------------------------------

Event751, North, night01,18296.951774060726,30.0, 0.5249977178084152
Event751, North, night01,18306.951774060726,40.0, 0.46858180537481475
Event751, North, night01,18316.951774060726,50.0, 0.1855317763840542
Event751, North, night01,18326.951774060726,60.0, 0.020925879264203813
Event751, North, night01,18336.951774060726,70.0, 0.37123623057236077
Event751, North, night01,18346.951774060726,80.0, 0.23665445266918458
Event751, North, night01,18356.951774060726,90.0, 0.660518652917788
Event751, North, night01,18366.951774060726,100.0, 1.0363772845067123
Event751, North, night01,18376.951774060726,110.0, 1.4697359779300534
Event751, North, night01,18386.951774060726,120.0, 0.9787966137765737
Event751, North, night01,18396.951774060726,130.0, 0.4956820083690013
Event751, North, night01,18406.951774060726,140.0, 0.48204237094593066
Event751, North, night01,18416.951774060726,150.0, 0.2624696239997554
Event751, North, night01,18426.951774060726,160.0, 0.377308843712999
Event751, North, night01,18436.951774060726,170.0, 0.18365058503183362
Event751, North, night01,18446.951774060726,180.0, 0.025550198703913316
Event751, North, night01,18456.951774060726,190.0, 0.1496035917138913
Event751, North, night01,18466.951774060726,200.0, 0.2437351945280166
Event751, North, night01,18476.951774060726,210.0, 0.35629096908086766
Event751, North, night01,18486.951774060726,220.0, 0.24617629304239366
Event751, North, night01,18496.951774060726,230.0, 0.2518735072485397
Event751, North, night01,18506.951774060726,240.0, 0.3154809455282651
Event751, North, night01,18516.951774060726,250.0, 0.530280970419153
Event751, North, night01,18526.951774060726,260.0, 0.5955882151207677
Event751, North, night01,18536.951774060726,270.0, 0.276932322884848
Event751, North, night01,18546.951774060726,280.0, 0.3450102359314008
Event751, North, night01,18556.951774060726,290.0, 0.12333848128183794
Event751, North, night02,104619.17360007763,30.0, 0.7404971635581128
Event751, North, night02,104629.17360007763,40.0, 0.201714572189608
Event751, North, night02,104639.17360007763,50.0, 0.02604956900325065
Event751, North, night02,104649.17360007763,60.0, 0.43081460465564314
Event751, North, night02,104659.17360007763,70.0, 0.7576787733153605
Event751, North, night02,104669.17360007763,80.0, 1.4118052218245705
Event751, North, night02,104679.17360007763,90.0, 1.493715935490356
Event751, North, night02,104689.17360007763,100.0, 1.0929209682622314
Event751, North, night02,104699.17360007763,110.0, 1.0358112120974161
Event751, North, night02,104709.17360007763,120.0, 0.606662534903704
Event751, North, night02,104719.17360007763,130.0, 0.46884381505386474
Event751, North, night02,104729.17360007763,140.0, 0.5957372904810352
Event751, North, night02,104739.17360007763,150.0, 0.2576876276455503
Event751, North, night02,104749.17360007763,160.0, 0.4259173834152071
Event751, North, night02,104759.17360007763,170.0, 0.7104926675200487
Event751, North, night02,104769.17360007763,180.0, 0.7890893033993329
Event751, North, night02,104779.17360007763,190.0, 0.885875103185132
Event751, North, night02,104789.17360007763,200.0, 0.8329646080640365
Event751, North, night02,104799.17360007763,210.0, 0.8001078991270512
Event751, North, night02,104809.17360007763,220.0, 1.4080104755550216
Event751, North, night02,104819.17360007763,230.0, 1.2550782835876693
Event751, North, night02,104829.17360007763,240.0, 1.5145183456145164
Event751, North, night02,104839.17360007763,250.0, 1.6218720136238352
Event751, North, night02,104849.17360007763,260.0, 1.971884219107005
Event751, North, night02,104859.17360007763,270.0, 2.233724658741323
