,Num,Ra,Dec,Redshift,Eiso,Liso,Epeak,Duration,Gamma0(H),Gamma0(W),Phflux(15-150),alfa,beta,PhFlux(10-1000)
66,67,351.3995,33.406,3.1533692920314427,1.1773659705265546e+53,7.198929410152344e+52,545.3935415702966,25.636999999999997,429.56699999999995,156.954,4.441,-1.05,-2.509,6.156000000000001
67,68,95.3377,40.0524,1.8702203980198784,1.3306202948007073e+53,1.6553440315948438e+52,390.41467785205856,74.242,129.30100000000002,71.947,3.5860000000000003,-0.9179999999999999,-2.57,4.904
68,69,233.39,78.2703,0.3648173650626679,6.828192609596188e+52,7.08995291957637e+50,116.71481662390578,415.785,100.661,54.479,10.196,-1.048,-2.477,14.044
69,70,332.1565,-37.1879,1.3919095063711693,5.646410726775075e+52,9.331268062757305e+51,602.7449105392514,31.09,106.177,54.691,2.759,-0.9940000000000001,-2.569,4.041
70,71,351.8901,-59.1833,1.9684744238021936,8.515986746006963e+51,1.314091699147207e+52,215.55098637138596,4.143,470.76099999999997,107.689,2.844,-0.945,-2.309,3.9210000000000003
71,72,67.7769,4.6411,1.6599047614169975,1.0079386563357231e+54,7.028114297006981e+53,1287.708666681501,17.035999999999998,790.357,337.07099999999997,69.808,-0.927,-2.463,113.6
72,73,43.0744,-19.6955,1.3011829785614974,7.49119662123458e+52,8.260894922331493e+51,548.1871258079316,61.824,320.969,119.85799999999999,3.0380000000000003,-1.008,-2.5669999999999997,4.419
73,74,83.099,0.366,1.679416411054417,1.667161520246374e+52,1.3661399992850477e+52,303.2081372173715,10.583,368.49800000000005,102.303,4.053,-1.054,-2.444,5.605
74,75,328.0791,60.275,0.2638223809790211,1.6585747443476627e+53,1.4164643345922622e+52,873.4439901542703,27.464000000000002,408.267,160.639,87.632,-0.9129999999999999,-2.5180000000000002,151.621
75,76,337.5647,-66.5821,1.8727305344071736,8.3875885648128e+52,1.139890575431727e+52,246.7198045960939,55.803999999999995,591.323,183.551,3.237,-0.945,-2.582,4.378
76,77,112.0549,14.5755,1.498903620030035,2.090308348643279e+52,5.336139921463219e+51,131.3853642789424,36.635999999999996,230.821,77.771,2.6439999999999997,-0.996,-2.36,3.7289999999999996
77,78,322.8327,-9.7045,2.342761904406229,1.2835485974204959e+52,1.7703154845977363e+52,187.57990788640163,11.882,297.612,84.93799999999999,3.3539999999999996,-0.966,-2.545,4.651
78,79,217.1125,19.3439,0.3996447932847866,3.506424391212665e+53,1.2938601236092468e+51,579.2285047409744,1348.769,430.903,188.653,5.597,-1.1079999999999999,-2.418,8.666
79,80,347.8065,-48.4461,3.245238778862788,4.874904077103539e+52,4.22029299411832e+52,212.72566143759155,11.530999999999999,723.4110000000001,191.801,3.451,-1.111,-2.46,4.926
80,81,51.5879,20.9974,2.0787016125298665,1.5994648022284075e+52,1.5549588068220787e+52,269.4023725564372,9.761000000000001,121.814,48.573,3.127,-1.054,-2.459,4.314
81,82,116.3848,-54.396,1.3641188014697474,1.3593563858680678e+52,4.9295551698471046e+51,160.52542444695368,15.856,107.993,43.626999999999995,2.928,-0.9329999999999999,-2.388,4.024
82,83,281.6485,24.9414,2.5788331976894567,9.130179126350445e+53,4.5751606265205853e+52,864.1578233249936,217.399,272.607,163.069,3.338,-1.046,-2.678,4.859
83,84,41.2523,63.9702,0.4418185016076984,4.778952914100275e+51,9.61817873426089e+50,62.00130412522976,23.438000000000002,143.731,44.346000000000004,11.139000000000001,-0.995,-2.4930000000000003,15.927999999999999
84,85,216.4654,-74.838,1.4814447541835287,1.0793283445684085e+54,6.809257038208793e+52,602.4658210274156,59.262,370.20599999999996,205.63099999999997,15.815999999999999,-0.88,-2.4819999999999998,23.113000000000003
85,86,84.1656,-31.5995,1.2120820274383457,1.4664733847898243e+54,1.1346815470549382e+53,3201.413937857761,57.236999999999995,76.66199999999999,75.747,11.353,-1.05,-2.398,20.153
86,87,234.8737,11.3213,1.1393272167894897,1.148901283359588e+53,1.6165911606277798e+52,408.3348184987761,53.974,115.85799999999999,65.253,11.014000000000001,-1.062,-2.84,15.628
87,88,294.6554,26.484,2.8982678852101493,5.6494180239139e+53,2.0068419570520445e+53,588.1728895826799,29.465,477.17400000000004,218.63400000000001,12.267000000000001,-0.825,-2.425,16.875999999999998
88,89,286.7479,58.5548,1.377489179828213,1.6925851126436868e+51,6.366068411923321e+51,74.32295218147281,1.5859999999999999,90.13,27.328000000000003,4.673,-1.0190000000000001,-2.483,6.98
89,90,338.9129,-68.5053,1.4057950311276273,1.106592937619704e+53,1.2645776380141564e+52,478.78549603183967,56.915,219.215,99.2,3.9730000000000003,-0.976,-2.437,5.67
90,91,0.3443,17.4333,1.750074862318733,4.797113748133032e+53,4.108446907917388e+52,1037.6109672907612,91.51,269.96299999999997,145.535,4.6610000000000005,-0.934,-2.529,7.269
91,92,72.6102,3.7924,1.7473258768911564,1.1303968198993988e+53,1.5612965854606777e+52,626.0071099910662,78.321,262.461,112.249,2.784,-1.117,-2.417,4.053
92,93,77.4461,-41.821,0.8563761425319962,1.543464573490309e+53,5.7362876677558856e+51,477.104472938658,207.662,735.2660000000001,234.952,5.601,-0.991,-2.588,8.222000000000001
93,94,33.9622,-36.5761,1.0067975891708103,7.477142432599954e+52,1.5228489148099763e+52,761.0550451727338,34.137,86.331,49.927,7.223,-0.98,-2.5839999999999996,11.204
94,95,226.3273,5.7372,2.374483896960641,3.8143151594815524e+52,2.2161591040012185e+52,237.07196532088008,20.099,176.298,71.835,3.835,-0.997,-2.583,5.256
